"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo";"DATA_ABERTURA";"DATA_FINAL"
40962;"Brasil, 68515-000";-6,19301982;-49,6754547381818;1;2018-08-09;2018-12-01
42439;"Brasil, 88339-025";-30,8224748;-53,9041352064693;1;2017-07-10;2024-12-10
19459;"Brasil, 13150-000";-22,7010256;-47,1918445;1;2008-02-01;2024-12-10
12112;"Brasil, 04235-020";-30,8147479;-53,8991252925057;1;2004-08-14;2024-12-10
6606;"Brasil, 60020-180";-3,73744977615894;-38,535954089404;1;1998-11-25;2007-07-04
14337;"Brasil, 20021-140";-22,9343506434783;-43,176654126087;1;2007-01-18;2024-12-10
6632;"Brasil, 01012-000";-23,5509710666667;-46,6361310388889;1;2001-05-18;2010-06-23
11953;"Brasil, 70200-002";-15,816271525;-47,8543739;1;2003-09-04;2024-12-10
6718;"Brasil, 40025-000";-21,053976;-49,6834459;1;1988-12-29;2024-12-10
57126;"Brasil, 39272-106";-17,3381346;-44,9394877;1;2019-07-29;2024-12-10
32364;"Brasil, 04211-040";-23,5881036625;-46,6044326375;1;2016-05-22;2024-12-10
2262;"Brasil, 13050-008";-30,81313535;-53,9045640570984;1;2002-12-13;2015-07-23
2874;"Brasil, 54410-902";-8,1602792;-34,9284855;1;2004-10-01;2015-07-30
2263;"Brasil, 58037-000";-7,0969847;-34,8392156;1;2004-06-04;2015-06-04
2264;"Brasil, 24466-310";-22,8738319;-43,2496583;1;2004-04-02;2015-06-11
2265;"Brasil, 65076-820";-2,5016748;-44,276900875;1;2003-11-14;2013-06-09
36863;"Brasil, -";-10,3333333;-53,2;1;NA;NA
50928;"Brasil, 85935-000";-24,4137364130435;-53,5176759565217;1;2022-04-04;2024-12-10
6674;"Brasil, 01301-100";-23,5523632466667;-46,657803802963;1;2004-02-25;2011-03-17
14525;"Brasil, 70876-550";-15,7470007;-47,8831969;1;2008-08-19;2024-12-10
27604;"Brasil, 82810-060";-23,2210055;-45,9012132;1;2011-11-25;2012-11-01
6420;"Brasil, 38600-000";-17,2187400032609;-46,8710417565217;1;2008-10-17;2014-02-13
12703;"Brasil, 13700-000";-21,77655348;-47,07491268;1;2000-06-07;2018-12-31
4848;"Brasil, 90430-060";-30,0316612;-51,2056093;1;2002-02-15;2012-03-30
16156;"Brasil, 90540-001";-30,0201866;-51,1993876;1;2009-09-09;2014-05-31
2520;"Brasil, 70394-901";-10,2377219;-48,3355671;1;NA;2006-01-20
6596;"Brasil, 13800-060";-23,2210055;-45,9012132;1;1998-01-23;2017-07-30
14490;"Brasil, 35540-000";-20,696241575;-44,827414809375;1;2008-09-01;2024-12-10
27082;"Brasil, 38405-140";-30,53916145;-52,5243476267173;1;2014-04-10;2015-06-17
44042;"Brasil, 49065-450";-10,8986283;-37,0498399;1;2019-11-01;2024-12-10
40318;"Brasil, 45031-000";-21,053976;-49,6834459;1;2018-06-20;2024-12-10
42700;"Brasil, 55819-970";-27,6913314;-48,6840858;1;2019-04-05;2024-12-10
47531;"Brasil, 62850-000";-4,11138766;-38,2374938333333;1;2021-01-15;2024-12-10
22580;"Brasil, 15046-355";-22,5166205;-47,4688312;1;2012-10-12;2024-12-10
46014;"Brasil, 09832-150";-23,7932439;-46,5089096;1;2020-07-12;2020-08-31
33850;"Brasil, 08900-000";-23,3792296882353;-46,0666853294118;1;2016-07-21;2024-12-10
