"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
13281;"Brasil, 08220-380";0,6557806;-60,4070271;0
2264;"Brasil, 24466-310";-22,8738319;-43,2496583;1
2265;"Brasil, 65076-820";-2,5016748;-44,276900875;1
36863;"Brasil, -";-10,3333333;-53,2;1
50928;"Brasil, 85935-000";-24,4137364130435;-53,5176759565217;1
6674;"Brasil, 01301-100";-23,5523632466667;-46,657803802963;1
14525;"Brasil, 70876-550";-15,7470007;-47,8831969;1
27604;"Brasil, 82810-060";-23,2210055;-45,9012132;1
6420;"Brasil, 38600-000";-17,2187400032609;-46,8710417565217;1
12703;"Brasil, 13700-000";-21,77655348;-47,07491268;1
4848;"Brasil, 90430-060";-30,0316612;-51,2056093;1
16156;"Brasil, 90540-001";-30,0201866;-51,1993876;1
2520;"Brasil, 70394-901";-10,2377219;-48,3355671;1
6596;"Brasil, 13800-060";-23,2210055;-45,9012132;1
14490;"Brasil, 35540-000";-20,696241575;-44,827414809375;1
27082;"Brasil, 38405-140";-30,53916145;-52,5243476267173;1
44042;"Brasil, 49065-450";-10,8986283;-37,0498399;1
40318;"Brasil, 45031-000";-21,053976;-49,6834459;1
42700;"Brasil, 55819-970";-27,6913314;-48,6840858;1
47531;"Brasil, 62850-000";-4,11138766;-38,2374938333333;1
22580;"Brasil, 15046-355";-22,5166205;-47,4688312;1
46014;"Brasil, 09832-150";-23,7932439;-46,5089096;1
33850;"Brasil, 08900-000";-23,3792296882353;-46,0666853294118;1
41783;"Brasil, 02611-001";-23,470554575;-46,65335340625;1
38235;"Brasil, 69085-000";-3,06196238571429;-59,9500111714286;1
2839;"Brasil, 06653-040";-23,545697;-46,9321956;1
37000;"Brasil, 06660-000";42,0549452;-7,800293;0
2842;"Brasil, 05049-000";-23,526683695;-46,700829435;1
27816;"Brasil, 13485-905";-24,30384595;-53,8390281812144;1
22954;"Brasil, 13485-346";-22,5334958;-47,3861605;1
17444;"Brasil, 57083-410";42,0549452;-7,800293;0
37602;"Brasil, 58037-000";-7,0969847;-34,8392156;1
34486;"Brasil, 60840-285";-3,81875387466667;-38,4967124453333;1
16776;"Brasil, 37704-369";-24,28683775;-53,8468741893861;1
6581;"Brasil, 06018-100";-0,2957854;-78,439517249;1
